EPOCH=001,Accuracy= 46.460%
EPOCH=002,Accuracy= 61.330%
EPOCH=003,Accuracy= 62.110%
EPOCH=004,Accuracy= 74.880%
EPOCH=005,Accuracy= 75.540%
EPOCH=006,Accuracy= 81.570%
EPOCH=007,Accuracy= 80.880%
EPOCH=008,Accuracy= 82.500%
EPOCH=009,Accuracy= 81.000%
EPOCH=010,Accuracy= 84.460%
EPOCH=011,Accuracy= 84.660%
EPOCH=012,Accuracy= 84.440%
EPOCH=013,Accuracy= 85.020%
EPOCH=014,Accuracy= 83.110%
EPOCH=015,Accuracy= 86.510%
EPOCH=016,Accuracy= 82.270%
EPOCH=017,Accuracy= 85.450%
EPOCH=018,Accuracy= 85.120%
EPOCH=019,Accuracy= 85.390%
EPOCH=020,Accuracy= 87.100%
EPOCH=021,Accuracy= 83.720%
EPOCH=022,Accuracy= 86.160%
EPOCH=023,Accuracy= 84.840%
EPOCH=024,Accuracy= 86.070%
EPOCH=025,Accuracy= 86.220%
EPOCH=026,Accuracy= 84.320%
EPOCH=027,Accuracy= 83.970%
EPOCH=028,Accuracy= 83.500%
EPOCH=029,Accuracy= 82.760%
EPOCH=030,Accuracy= 85.160%
EPOCH=031,Accuracy= 85.750%
EPOCH=032,Accuracy= 87.620%
EPOCH=033,Accuracy= 85.630%
EPOCH=034,Accuracy= 83.410%
EPOCH=035,Accuracy= 87.260%
EPOCH=036,Accuracy= 84.580%
EPOCH=037,Accuracy= 85.640%
EPOCH=038,Accuracy= 87.650%
EPOCH=039,Accuracy= 87.880%
EPOCH=040,Accuracy= 88.580%
EPOCH=041,Accuracy= 84.870%
EPOCH=042,Accuracy= 85.680%
EPOCH=043,Accuracy= 87.000%
EPOCH=044,Accuracy= 85.610%
EPOCH=045,Accuracy= 88.750%
EPOCH=046,Accuracy= 87.040%
EPOCH=047,Accuracy= 87.880%
EPOCH=048,Accuracy= 85.200%
EPOCH=049,Accuracy= 87.490%
EPOCH=050,Accuracy= 88.010%
EPOCH=051,Accuracy= 86.990%
EPOCH=052,Accuracy= 88.450%
EPOCH=053,Accuracy= 88.680%
EPOCH=054,Accuracy= 88.750%
EPOCH=055,Accuracy= 88.790%
EPOCH=056,Accuracy= 89.260%
EPOCH=057,Accuracy= 89.730%
EPOCH=058,Accuracy= 88.320%
EPOCH=059,Accuracy= 87.580%
EPOCH=060,Accuracy= 88.930%
EPOCH=061,Accuracy= 86.550%
EPOCH=062,Accuracy= 88.210%
EPOCH=063,Accuracy= 87.480%
EPOCH=064,Accuracy= 89.440%
EPOCH=065,Accuracy= 89.230%
EPOCH=066,Accuracy= 86.910%
EPOCH=067,Accuracy= 89.320%
EPOCH=068,Accuracy= 86.760%
EPOCH=069,Accuracy= 88.490%
EPOCH=070,Accuracy= 90.320%
EPOCH=071,Accuracy= 89.140%
EPOCH=072,Accuracy= 87.220%
EPOCH=073,Accuracy= 89.390%
EPOCH=074,Accuracy= 85.450%
EPOCH=075,Accuracy= 87.340%
EPOCH=076,Accuracy= 89.060%
EPOCH=077,Accuracy= 87.980%
EPOCH=078,Accuracy= 88.460%
EPOCH=079,Accuracy= 86.870%
EPOCH=080,Accuracy= 86.880%
EPOCH=081,Accuracy= 87.420%
EPOCH=082,Accuracy= 89.810%
EPOCH=083,Accuracy= 85.220%
EPOCH=084,Accuracy= 85.420%
EPOCH=085,Accuracy= 89.010%
EPOCH=086,Accuracy= 90.360%
EPOCH=087,Accuracy= 89.870%
EPOCH=088,Accuracy= 88.230%
EPOCH=089,Accuracy= 87.600%
EPOCH=090,Accuracy= 86.170%
EPOCH=091,Accuracy= 89.380%
EPOCH=092,Accuracy= 89.960%
EPOCH=093,Accuracy= 87.700%
EPOCH=094,Accuracy= 88.250%
EPOCH=095,Accuracy= 87.720%
EPOCH=096,Accuracy= 87.650%
EPOCH=097,Accuracy= 89.990%
EPOCH=098,Accuracy= 87.620%
EPOCH=099,Accuracy= 89.360%
EPOCH=100,Accuracy= 89.070%
