EPOCH=001,Accuracy= 58.620%
EPOCH=002,Accuracy= 70.610%
EPOCH=003,Accuracy= 74.920%
EPOCH=004,Accuracy= 77.130%
EPOCH=005,Accuracy= 79.950%
EPOCH=006,Accuracy= 82.730%
EPOCH=007,Accuracy= 83.370%
EPOCH=008,Accuracy= 82.420%
EPOCH=009,Accuracy= 84.880%
EPOCH=010,Accuracy= 85.330%
EPOCH=011,Accuracy= 85.730%
EPOCH=012,Accuracy= 86.690%
EPOCH=013,Accuracy= 84.770%
EPOCH=014,Accuracy= 86.650%
EPOCH=015,Accuracy= 86.040%
EPOCH=016,Accuracy= 88.420%
EPOCH=017,Accuracy= 87.190%
EPOCH=018,Accuracy= 88.310%
EPOCH=019,Accuracy= 88.490%
EPOCH=020,Accuracy= 88.430%
EPOCH=021,Accuracy= 89.230%
EPOCH=022,Accuracy= 88.070%
EPOCH=023,Accuracy= 88.260%
EPOCH=024,Accuracy= 89.270%
EPOCH=025,Accuracy= 90.210%
EPOCH=026,Accuracy= 89.820%
EPOCH=027,Accuracy= 89.110%
EPOCH=028,Accuracy= 89.040%
EPOCH=029,Accuracy= 89.130%
EPOCH=030,Accuracy= 90.010%
EPOCH=031,Accuracy= 89.430%
EPOCH=032,Accuracy= 90.270%
EPOCH=033,Accuracy= 89.670%
EPOCH=034,Accuracy= 90.310%
EPOCH=035,Accuracy= 90.030%
EPOCH=036,Accuracy= 89.720%
EPOCH=037,Accuracy= 90.940%
EPOCH=038,Accuracy= 90.190%
EPOCH=039,Accuracy= 90.130%
EPOCH=040,Accuracy= 89.800%
EPOCH=041,Accuracy= 90.040%
EPOCH=042,Accuracy= 89.350%
EPOCH=043,Accuracy= 90.700%
EPOCH=044,Accuracy= 90.810%
EPOCH=045,Accuracy= 91.080%
EPOCH=046,Accuracy= 89.320%
EPOCH=047,Accuracy= 90.200%
EPOCH=048,Accuracy= 89.650%
EPOCH=049,Accuracy= 90.330%
EPOCH=050,Accuracy= 90.040%
EPOCH=051,Accuracy= 90.450%
EPOCH=052,Accuracy= 89.510%
EPOCH=053,Accuracy= 90.240%
EPOCH=054,Accuracy= 90.120%
EPOCH=055,Accuracy= 90.570%
EPOCH=056,Accuracy= 90.960%
EPOCH=057,Accuracy= 90.630%
EPOCH=058,Accuracy= 91.340%
EPOCH=059,Accuracy= 91.070%
EPOCH=060,Accuracy= 90.130%
EPOCH=061,Accuracy= 91.350%
EPOCH=062,Accuracy= 90.680%
EPOCH=063,Accuracy= 91.260%
EPOCH=064,Accuracy= 91.160%
EPOCH=065,Accuracy= 91.230%
EPOCH=066,Accuracy= 90.510%
EPOCH=067,Accuracy= 90.660%
EPOCH=068,Accuracy= 91.390%
EPOCH=069,Accuracy= 91.010%
EPOCH=070,Accuracy= 90.010%
EPOCH=071,Accuracy= 91.180%
EPOCH=072,Accuracy= 90.930%
EPOCH=073,Accuracy= 91.230%
EPOCH=074,Accuracy= 91.550%
EPOCH=075,Accuracy= 90.310%
EPOCH=076,Accuracy= 91.500%
EPOCH=077,Accuracy= 90.830%
EPOCH=078,Accuracy= 90.470%
EPOCH=079,Accuracy= 90.540%
EPOCH=080,Accuracy= 91.200%
EPOCH=081,Accuracy= 90.380%
EPOCH=082,Accuracy= 91.650%
EPOCH=083,Accuracy= 90.000%
EPOCH=084,Accuracy= 90.440%
EPOCH=085,Accuracy= 90.170%
EPOCH=086,Accuracy= 90.370%
EPOCH=087,Accuracy= 91.180%
EPOCH=088,Accuracy= 90.870%
EPOCH=089,Accuracy= 91.380%
EPOCH=090,Accuracy= 90.510%
EPOCH=091,Accuracy= 91.120%
EPOCH=092,Accuracy= 91.130%
EPOCH=093,Accuracy= 91.820%
EPOCH=094,Accuracy= 91.010%
EPOCH=095,Accuracy= 90.510%
EPOCH=096,Accuracy= 91.140%
EPOCH=097,Accuracy= 90.030%
EPOCH=098,Accuracy= 91.070%
EPOCH=099,Accuracy= 90.630%
EPOCH=100,Accuracy= 91.230%
