EPOCH=001,Accuracy= 24.570%
EPOCH=002,Accuracy= 30.760%
EPOCH=003,Accuracy= 34.670%
EPOCH=004,Accuracy= 51.550%
EPOCH=005,Accuracy= 29.840%
EPOCH=006,Accuracy= 45.290%
EPOCH=007,Accuracy= 59.570%
EPOCH=008,Accuracy= 60.260%
EPOCH=009,Accuracy= 58.330%
EPOCH=010,Accuracy= 59.570%
EPOCH=011,Accuracy= 63.530%
EPOCH=012,Accuracy= 29.950%
EPOCH=013,Accuracy= 52.380%
EPOCH=014,Accuracy= 60.950%
EPOCH=015,Accuracy= 50.880%
EPOCH=016,Accuracy= 49.100%
EPOCH=017,Accuracy= 70.650%
EPOCH=018,Accuracy= 66.780%
EPOCH=019,Accuracy= 61.740%
EPOCH=020,Accuracy= 61.390%
EPOCH=021,Accuracy= 60.640%
EPOCH=022,Accuracy= 59.560%
EPOCH=023,Accuracy= 70.660%
EPOCH=024,Accuracy= 62.700%
EPOCH=025,Accuracy= 62.300%
EPOCH=026,Accuracy= 45.670%
EPOCH=027,Accuracy= 56.750%
EPOCH=028,Accuracy= 56.230%
EPOCH=029,Accuracy= 58.180%
EPOCH=030,Accuracy= 64.510%
EPOCH=031,Accuracy= 69.630%
EPOCH=032,Accuracy= 60.740%
EPOCH=033,Accuracy= 61.190%
EPOCH=034,Accuracy= 68.030%
EPOCH=035,Accuracy= 66.410%
EPOCH=036,Accuracy= 56.240%
EPOCH=037,Accuracy= 61.360%
EPOCH=038,Accuracy= 64.930%
EPOCH=039,Accuracy= 59.830%
EPOCH=040,Accuracy= 43.330%
EPOCH=041,Accuracy= 58.150%
EPOCH=042,Accuracy= 70.040%
EPOCH=043,Accuracy= 60.150%
EPOCH=044,Accuracy= 71.470%
EPOCH=045,Accuracy= 60.020%
EPOCH=046,Accuracy= 52.680%
EPOCH=047,Accuracy= 50.190%
EPOCH=048,Accuracy= 57.400%
EPOCH=049,Accuracy= 63.370%
EPOCH=050,Accuracy= 49.640%
EPOCH=051,Accuracy= 45.930%
EPOCH=052,Accuracy= 66.230%
EPOCH=053,Accuracy= 66.650%
EPOCH=054,Accuracy= 53.800%
EPOCH=055,Accuracy= 55.910%
EPOCH=056,Accuracy= 59.700%
EPOCH=057,Accuracy= 60.000%
EPOCH=058,Accuracy= 56.380%
EPOCH=059,Accuracy= 58.990%
EPOCH=060,Accuracy= 53.190%
EPOCH=061,Accuracy= 52.690%
EPOCH=062,Accuracy= 66.910%
EPOCH=063,Accuracy= 54.110%
EPOCH=064,Accuracy= 65.230%
EPOCH=065,Accuracy= 55.950%
EPOCH=066,Accuracy= 56.830%
EPOCH=067,Accuracy= 51.560%
EPOCH=068,Accuracy= 61.550%
EPOCH=069,Accuracy= 59.840%
EPOCH=070,Accuracy= 63.110%
EPOCH=071,Accuracy= 55.020%
EPOCH=072,Accuracy= 58.600%
EPOCH=073,Accuracy= 59.960%
EPOCH=074,Accuracy= 64.070%
EPOCH=075,Accuracy= 66.540%
EPOCH=076,Accuracy= 64.530%
EPOCH=077,Accuracy= 62.460%
EPOCH=078,Accuracy= 58.510%
EPOCH=079,Accuracy= 63.010%
EPOCH=080,Accuracy= 61.910%
EPOCH=081,Accuracy= 63.180%
EPOCH=082,Accuracy= 65.090%
EPOCH=083,Accuracy= 69.720%
EPOCH=084,Accuracy= 56.820%
EPOCH=085,Accuracy= 63.480%
EPOCH=086,Accuracy= 69.640%
EPOCH=087,Accuracy= 69.400%
EPOCH=088,Accuracy= 57.170%
EPOCH=089,Accuracy= 54.520%
EPOCH=090,Accuracy= 61.770%
EPOCH=091,Accuracy= 70.130%
EPOCH=092,Accuracy= 54.550%
EPOCH=093,Accuracy= 39.860%
EPOCH=094,Accuracy= 62.490%
EPOCH=095,Accuracy= 58.570%
EPOCH=096,Accuracy= 60.370%
EPOCH=097,Accuracy= 64.610%
EPOCH=098,Accuracy= 54.630%
EPOCH=099,Accuracy= 61.510%
EPOCH=100,Accuracy= 51.790%
