001  00001 |Loss: 2.477 | Acc: 14.844% 
001  00002 |Loss: 2.471 | Acc: 13.672% 
001  00003 |Loss: 2.635 | Acc: 13.802% 
001  00004 |Loss: 2.559 | Acc: 14.648% 
001  00005 |Loss: 2.609 | Acc: 14.688% 
001  00006 |Loss: 2.549 | Acc: 14.844% 
001  00007 |Loss: 2.492 | Acc: 16.741% 
001  00008 |Loss: 2.553 | Acc: 16.406% 
001  00009 |Loss: 2.575 | Acc: 16.667% 
001  00010 |Loss: 2.614 | Acc: 17.109% 
001  00011 |Loss: 2.662 | Acc: 17.685% 
001  00012 |Loss: 2.666 | Acc: 18.424% 
001  00013 |Loss: 2.654 | Acc: 18.870% 
001  00014 |Loss: 2.666 | Acc: 18.806% 
001  00015 |Loss: 2.694 | Acc: 18.906% 
001  00016 |Loss: 2.716 | Acc: 19.336% 
001  00017 |Loss: 2.722 | Acc: 19.301% 
001  00018 |Loss: 2.740 | Acc: 19.227% 
001  00019 |Loss: 2.718 | Acc: 19.202% 
001  00020 |Loss: 2.709 | Acc: 18.945% 
001  00021 |Loss: 2.693 | Acc: 19.122% 
001  00022 |Loss: 2.679 | Acc: 19.425% 
001  00023 |Loss: 2.661 | Acc: 19.599% 
001  00024 |Loss: 2.641 | Acc: 19.792% 
001  00025 |Loss: 2.625 | Acc: 20.031% 
001  00026 |Loss: 2.606 | Acc: 20.072% 
001  00027 |Loss: 2.595 | Acc: 19.994% 
001  00028 |Loss: 2.578 | Acc: 20.173% 
001  00029 |Loss: 2.568 | Acc: 20.393% 
001  00030 |Loss: 2.551 | Acc: 20.469% 
001  00031 |Loss: 2.532 | Acc: 20.716% 
001  00032 |Loss: 2.521 | Acc: 20.825% 
001  00033 |Loss: 2.513 | Acc: 20.999% 
001  00034 |Loss: 2.501 | Acc: 21.186% 
001  00035 |Loss: 2.485 | Acc: 21.473% 
001  00036 |Loss: 2.477 | Acc: 21.484% 
001  00037 |Loss: 2.465 | Acc: 21.558% 
001  00038 |Loss: 2.453 | Acc: 21.567% 
001  00039 |Loss: 2.443 | Acc: 21.635% 
001  00040 |Loss: 2.432 | Acc: 21.816% 
001  00041 |Loss: 2.424 | Acc: 21.856% 
001  00042 |Loss: 2.416 | Acc: 21.912% 
001  00043 |Loss: 2.403 | Acc: 22.093% 
001  00044 |Loss: 2.395 | Acc: 22.070% 
001  00045 |Loss: 2.387 | Acc: 22.153% 
001  00046 |Loss: 2.378 | Acc: 22.520% 
001  00047 |Loss: 2.368 | Acc: 22.689% 
001  00048 |Loss: 2.357 | Acc: 22.803% 
001  00049 |Loss: 2.349 | Acc: 22.927% 
001  00050 |Loss: 2.339 | Acc: 22.953% 
001  00051 |Loss: 2.330 | Acc: 23.177% 
001  00052 |Loss: 2.324 | Acc: 23.302% 
001  00053 |Loss: 2.315 | Acc: 23.438% 
001  00054 |Loss: 2.307 | Acc: 23.597% 
001  00055 |Loss: 2.301 | Acc: 23.665% 
001  00056 |Loss: 2.293 | Acc: 23.814% 
001  00057 |Loss: 2.284 | Acc: 23.999% 
001  00058 |Loss: 2.276 | Acc: 24.178% 
001  00059 |Loss: 2.268 | Acc: 24.364% 
001  00060 |Loss: 2.263 | Acc: 24.466% 
001  00061 |Loss: 2.253 | Acc: 24.705% 
001  00062 |Loss: 2.249 | Acc: 24.685% 
001  00063 |Loss: 2.242 | Acc: 24.764% 
001  00064 |Loss: 2.240 | Acc: 24.719% 
001  00065 |Loss: 2.233 | Acc: 24.856% 
001  00066 |Loss: 2.231 | Acc: 24.858% 
001  00067 |Loss: 2.227 | Acc: 24.930% 
001  00068 |Loss: 2.223 | Acc: 25.011% 
001  00069 |Loss: 2.221 | Acc: 24.955% 
001  00070 |Loss: 2.219 | Acc: 24.877% 
001  00071 |Loss: 2.214 | Acc: 25.000% 
001  00072 |Loss: 2.209 | Acc: 25.054% 
001  00073 |Loss: 2.204 | Acc: 25.064% 
001  00074 |Loss: 2.199 | Acc: 25.137% 
001  00075 |Loss: 2.194 | Acc: 25.240% 
001  00076 |Loss: 2.188 | Acc: 25.360% 
001  00077 |Loss: 2.184 | Acc: 25.375% 
001  00078 |Loss: 2.180 | Acc: 25.391% 
001  00079 |Loss: 2.175 | Acc: 25.514% 
001  00080 |Loss: 2.169 | Acc: 25.645% 
001  00081 |Loss: 2.168 | Acc: 25.781% 
001  00082 |Loss: 2.166 | Acc: 25.829% 
001  00083 |Loss: 2.163 | Acc: 25.857% 
001  00084 |Loss: 2.159 | Acc: 25.846% 
001  00085 |Loss: 2.155 | Acc: 25.910% 
001  00086 |Loss: 2.151 | Acc: 25.981% 
001  00087 |Loss: 2.149 | Acc: 25.979% 
001  00088 |Loss: 2.148 | Acc: 25.959% 
001  00089 |Loss: 2.145 | Acc: 26.062% 
001  00090 |Loss: 2.141 | Acc: 26.163% 
001  00091 |Loss: 2.138 | Acc: 26.253% 
001  00092 |Loss: 2.135 | Acc: 26.359% 
001  00093 |Loss: 2.133 | Acc: 26.436% 
001  00094 |Loss: 2.130 | Acc: 26.471% 
001  00095 |Loss: 2.127 | Acc: 26.464% 
001  00096 |Loss: 2.122 | Acc: 26.579% 
001  00097 |Loss: 2.117 | Acc: 26.683% 
001  00098 |Loss: 2.113 | Acc: 26.794% 
001  00099 |Loss: 2.110 | Acc: 26.791% 
001  00100 |Loss: 2.107 | Acc: 26.828% 
001  00101 |Loss: 2.105 | Acc: 26.872% 
001  00102 |Loss: 2.101 | Acc: 26.892% 
001  00103 |Loss: 2.097 | Acc: 26.957% 
001  00104 |Loss: 2.094 | Acc: 27.036% 
