001  00001 |Loss: 2.370 | Acc: 12.500% 
001  00002 |Loss: 2.585 | Acc: 10.547% 
001  00003 |Loss: 2.794 | Acc: 13.802% 
001  00004 |Loss: 3.266 | Acc: 13.477% 
001  00005 |Loss: 3.752 | Acc: 13.906% 
001  00006 |Loss: 3.883 | Acc: 13.672% 
001  00007 |Loss: 4.098 | Acc: 12.054% 
001  00008 |Loss: 4.111 | Acc: 11.523% 
001  00009 |Loss: 4.033 | Acc: 11.285% 
001  00010 |Loss: 3.945 | Acc: 11.484% 
001  00011 |Loss: 4.001 | Acc: 11.506% 
001  00012 |Loss: 4.063 | Acc: 11.458% 
001  00013 |Loss: 4.022 | Acc: 10.877% 
001  00014 |Loss: 3.971 | Acc: 10.826% 
001  00015 |Loss: 3.866 | Acc: 10.990% 
001  00016 |Loss: 3.773 | Acc: 11.230% 
001  00017 |Loss: 3.709 | Acc: 11.121% 
001  00018 |Loss: 3.666 | Acc: 11.372% 
001  00019 |Loss: 3.602 | Acc: 11.513% 
001  00020 |Loss: 3.565 | Acc: 11.523% 
001  00021 |Loss: 3.526 | Acc: 11.496% 
001  00022 |Loss: 3.499 | Acc: 11.470% 
001  00023 |Loss: 3.451 | Acc: 11.515% 
001  00024 |Loss: 3.422 | Acc: 11.556% 
001  00025 |Loss: 3.378 | Acc: 11.875% 
001  00026 |Loss: 3.336 | Acc: 12.079% 
001  00027 |Loss: 3.320 | Acc: 12.095% 
001  00028 |Loss: 3.293 | Acc: 12.305% 
001  00029 |Loss: 3.285 | Acc: 12.581% 
001  00030 |Loss: 3.250 | Acc: 12.812% 
001  00031 |Loss: 3.247 | Acc: 12.702% 
001  00032 |Loss: 3.214 | Acc: 13.062% 
001  00033 |Loss: 3.190 | Acc: 13.210% 
001  00034 |Loss: 3.179 | Acc: 13.442% 
001  00035 |Loss: 3.150 | Acc: 13.638% 
001  00036 |Loss: 3.122 | Acc: 13.932% 
001  00037 |Loss: 3.105 | Acc: 14.020% 
001  00038 |Loss: 3.084 | Acc: 14.104% 
001  00039 |Loss: 3.060 | Acc: 14.283% 
001  00040 |Loss: 3.043 | Acc: 14.434% 
001  00041 |Loss: 3.023 | Acc: 14.710% 
001  00042 |Loss: 3.008 | Acc: 14.732% 
001  00043 |Loss: 2.994 | Acc: 14.680% 
001  00044 |Loss: 2.977 | Acc: 14.862% 
001  00045 |Loss: 2.960 | Acc: 14.931% 
001  00046 |Loss: 2.944 | Acc: 15.099% 
001  00047 |Loss: 2.928 | Acc: 15.043% 
001  00048 |Loss: 2.913 | Acc: 15.137% 
001  00049 |Loss: 2.898 | Acc: 15.242% 
001  00050 |Loss: 2.884 | Acc: 15.375% 
001  00051 |Loss: 2.869 | Acc: 15.564% 
001  00052 |Loss: 2.855 | Acc: 15.715% 
001  00053 |Loss: 2.844 | Acc: 15.802% 
001  00054 |Loss: 2.830 | Acc: 15.871% 
001  00055 |Loss: 2.818 | Acc: 15.994% 
001  00056 |Loss: 2.812 | Acc: 15.960% 
001  00057 |Loss: 2.801 | Acc: 16.022% 
001  00058 |Loss: 2.789 | Acc: 16.096% 
001  00059 |Loss: 2.779 | Acc: 16.102% 
001  00060 |Loss: 2.769 | Acc: 16.185% 
001  00061 |Loss: 2.759 | Acc: 16.240% 
001  00062 |Loss: 2.748 | Acc: 16.280% 
001  00063 |Loss: 2.738 | Acc: 16.468% 
001  00064 |Loss: 2.728 | Acc: 16.528% 
001  00065 |Loss: 2.718 | Acc: 16.611% 
001  00066 |Loss: 2.710 | Acc: 16.584% 
001  00067 |Loss: 2.701 | Acc: 16.663% 
001  00068 |Loss: 2.693 | Acc: 16.716% 
001  00069 |Loss: 2.685 | Acc: 16.712% 
001  00070 |Loss: 2.676 | Acc: 16.775% 
001  00071 |Loss: 2.666 | Acc: 16.912% 
001  00072 |Loss: 2.657 | Acc: 17.003% 
001  00073 |Loss: 2.651 | Acc: 17.080% 
001  00074 |Loss: 2.643 | Acc: 17.145% 
001  00075 |Loss: 2.637 | Acc: 17.188% 
001  00076 |Loss: 2.629 | Acc: 17.146% 
001  00077 |Loss: 2.619 | Acc: 17.279% 
001  00078 |Loss: 2.612 | Acc: 17.308% 
001  00079 |Loss: 2.604 | Acc: 17.395% 
001  00080 |Loss: 2.596 | Acc: 17.549% 
001  00081 |Loss: 2.588 | Acc: 17.602% 
001  00082 |Loss: 2.581 | Acc: 17.635% 
001  00083 |Loss: 2.574 | Acc: 17.733% 
001  00084 |Loss: 2.566 | Acc: 17.829% 
001  00085 |Loss: 2.559 | Acc: 17.969% 
001  00086 |Loss: 2.552 | Acc: 17.969% 
001  00087 |Loss: 2.545 | Acc: 18.059% 
001  00088 |Loss: 2.538 | Acc: 18.173% 
001  00089 |Loss: 2.531 | Acc: 18.232% 
001  00090 |Loss: 2.525 | Acc: 18.307% 
001  00091 |Loss: 2.519 | Acc: 18.355% 
001  00092 |Loss: 2.513 | Acc: 18.410% 
001  00093 |Loss: 2.509 | Acc: 18.490% 
001  00094 |Loss: 2.501 | Acc: 18.600% 
001  00095 |Loss: 2.497 | Acc: 18.651% 
001  00096 |Loss: 2.492 | Acc: 18.652% 
001  00097 |Loss: 2.486 | Acc: 18.710% 
001  00098 |Loss: 2.482 | Acc: 18.766% 
001  00099 |Loss: 2.476 | Acc: 18.758% 
001  00100 |Loss: 2.471 | Acc: 18.789% 
001  00101 |Loss: 2.465 | Acc: 18.835% 
001  00102 |Loss: 2.460 | Acc: 18.941% 
001  00103 |Loss: 2.456 | Acc: 19.031% 
001  00104 |Loss: 2.452 | Acc: 19.066% 
