EPOCH=001,Accuracy= 47.580%
EPOCH=002,Accuracy= 58.570%
EPOCH=003,Accuracy= 66.030%
EPOCH=004,Accuracy= 68.490%
EPOCH=005,Accuracy= 74.420%
EPOCH=006,Accuracy= 74.470%
EPOCH=007,Accuracy= 78.780%
EPOCH=008,Accuracy= 79.790%
EPOCH=009,Accuracy= 80.560%
EPOCH=010,Accuracy= 80.850%
EPOCH=011,Accuracy= 81.760%
EPOCH=012,Accuracy= 81.120%
EPOCH=013,Accuracy= 82.260%
EPOCH=014,Accuracy= 81.960%
EPOCH=015,Accuracy= 83.490%
EPOCH=016,Accuracy= 83.920%
EPOCH=017,Accuracy= 84.440%
EPOCH=018,Accuracy= 85.840%
EPOCH=019,Accuracy= 83.580%
EPOCH=020,Accuracy= 86.210%
EPOCH=021,Accuracy= 85.680%
EPOCH=022,Accuracy= 85.040%
EPOCH=023,Accuracy= 85.890%
EPOCH=024,Accuracy= 85.480%
EPOCH=025,Accuracy= 87.730%
EPOCH=026,Accuracy= 87.110%
EPOCH=027,Accuracy= 86.850%
EPOCH=028,Accuracy= 85.570%
EPOCH=029,Accuracy= 87.490%
EPOCH=030,Accuracy= 87.650%
EPOCH=031,Accuracy= 87.780%
EPOCH=032,Accuracy= 87.450%
EPOCH=033,Accuracy= 87.590%
EPOCH=034,Accuracy= 88.580%
EPOCH=035,Accuracy= 87.610%
EPOCH=036,Accuracy= 87.940%
EPOCH=037,Accuracy= 88.700%
EPOCH=038,Accuracy= 88.420%
EPOCH=039,Accuracy= 87.950%
EPOCH=040,Accuracy= 87.370%
EPOCH=041,Accuracy= 87.770%
EPOCH=042,Accuracy= 88.590%
EPOCH=043,Accuracy= 88.610%
EPOCH=044,Accuracy= 87.680%
EPOCH=045,Accuracy= 87.730%
EPOCH=046,Accuracy= 89.460%
EPOCH=047,Accuracy= 89.470%
EPOCH=048,Accuracy= 89.140%
EPOCH=049,Accuracy= 89.530%
EPOCH=050,Accuracy= 89.320%
EPOCH=051,Accuracy= 89.510%
EPOCH=052,Accuracy= 89.500%
EPOCH=053,Accuracy= 89.450%
EPOCH=054,Accuracy= 89.240%
EPOCH=055,Accuracy= 88.990%
EPOCH=056,Accuracy= 88.070%
EPOCH=057,Accuracy= 90.310%
EPOCH=058,Accuracy= 88.970%
EPOCH=059,Accuracy= 89.980%
EPOCH=060,Accuracy= 90.080%
EPOCH=061,Accuracy= 89.740%
EPOCH=062,Accuracy= 89.770%
EPOCH=063,Accuracy= 89.030%
EPOCH=064,Accuracy= 89.080%
EPOCH=065,Accuracy= 90.130%
EPOCH=066,Accuracy= 89.470%
EPOCH=067,Accuracy= 90.290%
EPOCH=068,Accuracy= 88.690%
EPOCH=069,Accuracy= 89.080%
EPOCH=070,Accuracy= 89.810%
EPOCH=071,Accuracy= 90.380%
EPOCH=072,Accuracy= 90.000%
EPOCH=073,Accuracy= 89.640%
EPOCH=074,Accuracy= 90.070%
EPOCH=075,Accuracy= 89.710%
EPOCH=076,Accuracy= 90.200%
EPOCH=077,Accuracy= 90.860%
EPOCH=078,Accuracy= 90.270%
EPOCH=079,Accuracy= 89.470%
EPOCH=080,Accuracy= 90.090%
EPOCH=081,Accuracy= 90.530%
EPOCH=082,Accuracy= 90.180%
EPOCH=083,Accuracy= 90.690%
EPOCH=084,Accuracy= 90.480%
EPOCH=085,Accuracy= 90.320%
EPOCH=086,Accuracy= 90.570%
EPOCH=087,Accuracy= 90.220%
EPOCH=088,Accuracy= 89.880%
EPOCH=089,Accuracy= 90.310%
EPOCH=090,Accuracy= 91.110%
EPOCH=091,Accuracy= 90.780%
EPOCH=092,Accuracy= 90.110%
EPOCH=093,Accuracy= 90.690%
EPOCH=094,Accuracy= 90.460%
EPOCH=095,Accuracy= 91.040%
EPOCH=096,Accuracy= 90.390%
EPOCH=097,Accuracy= 90.750%
EPOCH=098,Accuracy= 90.790%
EPOCH=099,Accuracy= 90.920%
EPOCH=100,Accuracy= 89.660%
